statistic,statistic_label,tlist(a1),year,c02339v02812,county,c03346v04033,dwelling_status,c03341v04028,stamp_duty_event,c03344v04031,type_of_buyer,c03342v04029,type_of_sale,unit,value
HPA02C01,Volume Of Sales,2010,2010,05,Laois,01,New,2,Executions,-,All Buyer Types,01,Market,Number,92.0
HPA02C01,Volume Of Sales,2010,2010,05,Laois,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,92.0
HPA02C01,Volume Of Sales,2010,2010,05,Laois,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,182.0
HPA02C01,Volume Of Sales,2010,2010,05,Laois,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,174.0
HPA02C01,Volume Of Sales,2010,2010,05,Laois,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,193.0
HPA02C01,Volume Of Sales,2010,2010,05,Laois,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,185.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,01,New,1,Filings,-,All Buyer Types,01,Market,Number,62.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,62.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,01,New,2,Executions,-,All Buyer Types,01,Market,Number,48.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,48.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,71.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,70.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,69.0
HPA02C01,Volume Of Sales,2010,2010,06,Longford,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,67.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,01,New,1,Filings,-,All Buyer Types,01,Market,Number,164.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,141.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,01,New,2,Executions,-,All Buyer Types,01,Market,Number,152.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,111.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,334.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,321.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,322.0
HPA02C01,Volume Of Sales,2010,2010,07,Louth,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,313.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,01,New,1,Filings,-,All Buyer Types,01,Market,Number,340.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,01,New,1,Filings,01,Household Buyer - All,01,Market,Number,340.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,01,New,2,Executions,-,All Buyer Types,01,Market,Number,277.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,01,New,2,Executions,01,Household Buyer - All,01,Market,Number,277.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,02,Existing,1,Filings,-,All Buyer Types,01,Market,Number,532.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,02,Existing,1,Filings,01,Household Buyer - All,01,Market,Number,518.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,02,Existing,2,Executions,-,All Buyer Types,01,Market,Number,517.0
HPA02C01,Volume Of Sales,2010,2010,08,Meath,02,Existing,2,Executions,01,Household Buyer - All,01,Market,Number,502.0
